"ref_date","united states, adp employment change","united states, business confidence","united states, chicago fed national activity index","united states, chicago pmi","united states, consumer confidence","united states, continuing jobless claims","united states, corporate 10y t bill spread","united states, gdp growth rate","united states, industrial production mom","united states, initial jobless claims","united states, interbank rate","united states, manufacturing payrolls","united states, manufacturing pmi","united states, mortgage applications","united states, nfib business optimism index","united states, non farm payrolls","united states, non manufacturing pmi","united states, ny empire state manufacturing index","united states, philadelphia fed manufacturing index","united states, redbook index sa","united states, richmond fed manufacturing index","united states, services pmi","united states, t bill spread 10y 3m"
2001-02-28,NA,-9.8565891552677,-0.94753368661426,-12.989514095535,-7.37401882040137,0.0353316734063476,0.416457138045686,NA,-0.82346070364471,0.0870979957335741,-0.0537872597463059,-47.4270669344883,NA,NA,-3.42982228066393,-38.3159736418039,-3.60221525835487,NA,-38.4241811596517,NA,-14.0595705536558,NA,-1.20552847846311
2001-03-31,NA,-8.86178373673675,-1.09391979383082,-19.1857348576502,-6.32195694288279,0.0371245117768071,0.595990420567706,-3.91267814211714,-0.421795850272754,0.0412427611467009,-0.0597538307314886,-61.1654966533999,NA,NA,-3.52009930195318,-170.062076682345,-4.21347113879951,NA,-29.4948556150712,NA,-29.045089984715,NA,-0.949726391860443
2001-04-30,65.3369972289012,-9.26661919266706,-1.49036412723984,-14.9823771407365,-9.25840869770909,0.0404472606599447,0.561099933480463,NA,-0.520274987223695,0.0235651466113456,-0.055193302568877,-106.929660074233,NA,NA,-3.80231291402137,-410.862820337415,-6.62446531483018,NA,-19.6648639414967,NA,-16.0315911534177,NA,-0.126007619358578
2001-05-31,69.7175438617535,-10.6710723341467,-0.876872906770958,-16.7794616364764,-5.48426195771175,0.042313575408332,0.310852811853586,NA,-0.818700712289176,-0.00645178007611424,-0.1053868087551,-111.721104782852,NA,NA,-2.77916540435632,-178.722157915797,-5.93470499106025,NA,-20.7342046332873,NA,-21.0183444514686,NA,0.384911379580212
2001-06-30,67.3508359606423,-8.77511997226367,-1.53345235235377,-12.8770090365518,-4.70040459572222,0.042507000606519,0.318165586974521,-0.379106393320083,-0.816878723561875,0.00610215263738033,-0.0551284892021023,-116.541378365118,NA,NA,-4.25375183150776,-235.644042726276,-4.84369737210307,NA,-15.9028761848021,NA,-24.0046202705725,NA,0.412590322682832
2001-07-31,55.2566867985274,-8.47823420993059,-0.90970296917233,-15.2738694131383,-4.70772448457203,0.0259108465087898,0.359223188399118,NA,-0.814822799947853,0.00134835642354294,-0.00854412948348387,-103.360637451516,NA,NA,-3.02613735322991,-245.48140275351,-6.85094966257197,-8.77098527373391,-21.4658106125909,NA,-1.98968900243424,NA,0.332346503433763
2001-08-31,-11.5450903516314,-5.67995508276697,-0.935247463335005,-11.3689501442974,-5.40710949709262,0.02700794888334,0.500902715831914,NA,-0.312546720353176,-0.000601417702607749,-0.0384154057292961,-120.149292287741,NA,NA,-0.496387127277089,-271.093196269562,-8.05596906708034,-4.49679052521058,-26.9183251321842,NA,-8.97282103875865,NA,0.21810534631692
2001-09-30,-31.0346822168746,-5.78036130092136,-1.55012535615792,-6.7623578805399,-14.8994475061155,0.0425065524664837,0.917805330934244,-4.44735613480597,-0.610064263683907,0.0883606590977698,-0.148593373565334,-84.909270882468,NA,NA,-5.56456631140352,-377.492422014321,-5.45826279024152,-10.0084866966127,-16.9609960364128,NA,-8.95328677125052,NA,0.718425196178043
2001-10-31,-237.192275524242,-11.1795315745423,-1.0343761689572,-9.45419927237691,-13.7856263844721,0.0760703533736372,0.960588704927792,NA,-0.607389208846111,0.0995401652581447,-0.223001467429067,-114.642501244373,NA,NA,-5.53074006336349,-435.692078727676,-10.1573380366688,-13.2043171516417,-32.2943996181072,NA,-15.9303565916147,NA,1.04179686096668
2001-11-30,-224.998057000775,-7.87754461377826,-1.28803942304897,-11.7445809703193,-12.366534004994,0.0337376979146799,0.78094893309952,NA,-0.704535334745851,-0.0720573531239133,-0.121217805183115,-116.350911382131,NA,NA,-2.59497354091124,-428.705165149515,-6.7581951546681,-20.9825252539991,-26.3191121700983,NA,-26.9033008915559,NA,1.41076219988294
